DATE	TOTAL
01/01/2001	2017389
01/02/2001	1993273
01/03/2001	1981006
01/04/2001	1910453
01/05/2001	1898285
01/06/2001	1842556
01/07/2001	1835738
01/08/2001	1878513
01/09/2001	1889185
01/10/2001	1940910
01/11/2001	1985857
01/12/2001	1988716
01/01/2002	2075022
01/02/2002	2149907
01/03/2002	2083103
01/04/2002	2060069
01/05/2002	2002923
01/06/2002	1962963
01/07/2002	1961852
01/08/2002	1983982
01/09/2002	2006785
01/10/2002	2064513
01/11/2002	2117144
01/12/2002	2127018
01/01/2003	2185156
01/02/2003	2180216
01/03/2003	2163499
01/04/2003	2104474
01/05/2003	2035601
01/06/2003	2020367
01/07/2003	1995964
01/08/2003	2016675
01/09/2003	2039630
01/10/2003	2096606
01/11/2003	2143206
01/12/2003	2181248
01/01/2004	2232560
01/02/2004	2219300
01/03/2004	2181546
01/04/2004	2162406
01/05/2004	2090702
01/06/2004	2054113
01/07/2004	2014218
01/08/2004	2049639
01/09/2004	2050513
01/10/2004	2075812
01/11/2004	2121089
01/12/2004	2112714
01/01/2005	2176599
01/02/2005	2165420
01/03/2005	2144835
01/04/2005	2095945
01/05/2005	2007393
01/06/2005	1974860
01/07/2005	1989417
01/08/2005	2019110
01/09/2005	2013286
01/10/2005	2052861
01/11/2005	2095580
01/12/2005	2102937
01/01/2006	2171503
01/02/2006	2169277
01/03/2006	2148530
01/04/2006	2075676
01/05/2006	2004528
01/06/2006	1959754
01/07/2006	1954984
01/08/2006	1983677
01/09/2006	1966166
01/10/2006	1992836
01/11/2006	2023164
01/12/2006	2022873
01/01/2007	2082508
01/02/2007	2075275
01/03/2007	2059451
01/04/2007	2023124
01/05/2007	1973231
01/06/2007	1965869
01/07/2007	1970338
01/08/2007	2028296
01/09/2007	2017363
01/10/2007	2048577
01/11/2007	2094473
01/12/2007	2129547
01/01/2008	2261925
01/02/2008	2315331
01/03/2008	2300975
01/04/2008	2338517
01/05/2008	2353575
01/06/2008	2390424
01/07/2008	2426916
01/08/2008	2530001
01/09/2008	2625368
01/10/2008	2818026
01/11/2008	2989269
01/12/2008	3128963
01/01/2009	3327801
01/02/2009	3481859
01/03/2009	3605402
01/04/2009	3644880
01/05/2009	3620139
01/06/2009	3564889
01/07/2009	3544095
01/08/2009	3629080
01/09/2009	3709447
01/10/2009	3808353
01/11/2009	3868946
01/12/2009	3923603
01/01/2010	4048493
01/02/2010	4130625
01/03/2010	4166613
01/04/2010	4142425
01/05/2010	4066202
01/06/2010	3982368
01/07/2010	3908578
01/08/2010	3969661
01/09/2010	4017763
01/10/2010	4085976
01/11/2010	4110294
01/12/2010	4100073
01/01/2011	4231003
01/02/2011	4299263
01/03/2011	4333669
01/04/2011	4269360
01/05/2011	4189659
01/06/2011	4121801
01/07/2011	4079742
01/08/2011	4130927
01/09/2011	4226744
01/10/2011	4360926
01/11/2011	4420462
01/12/2011	4422359
01/01/2012	4599829
01/02/2012	4712098
01/03/2012	4750867
01/04/2012	4744235
01/05/2012	4714122
01/06/2012	4615269
01/07/2012	4587455
01/08/2012	4625634
01/09/2012	4705279
01/10/2012	4833521
01/11/2012	4907817
01/12/2012	4848723
01/01/2013	4980778
01/02/2013	5040222
01/03/2013	5035243
01/04/2013	4989193
01/05/2013	4890928
01/06/2013	4763680
01/07/2013	4698814
01/08/2013	4698783
01/09/2013	4724355
01/10/2013	4811383
01/11/2013	4808908
01/12/2013	4701338
01/01/2014	4814435
01/02/2014	4812486
01/03/2014	4795866
01/04/2014	4684301
01/05/2014	4572385
01/06/2014	4449701
01/07/2014	4419860
01/08/2014	4427930
01/09/2014	4447650
01/10/2014	4526804
01/11/2014	4512116
01/12/2014	4447711
01/01/2015	4525691
01/02/2015	4512153
01/03/2015	4451939
01/04/2015	4333016
01/05/2015	4215031
01/06/2015	4120304
01/07/2015	4046276
01/08/2015	4067955
01/09/2015	4094042
01/10/2015	4176369
01/11/2015	4149298
01/12/2015	4093508
01/01/2016	4150755
01/02/2016	4152986
01/03/2016	4094770
01/04/2016	4011171
01/05/2016	3891403
01/06/2016	3767054
01/07/2016	3683061
01/08/2016	3697496
01/09/2016	3720297
01/10/2016	3764982
01/11/2016	3789823
01/12/2016	3702974
01/01/2017	3760231
01/02/2017	3750876
01/03/2017	3702317
01/04/2017	3573036
01/05/2017	3461128
01/06/2017	3362811
01/07/2017	3335924
01/08/2017	3382324
01/09/2017	3410182
01/10/2017	3467026
01/11/2017	3474281
01/12/2017	3412781
01/01/2018	3476528
01/02/2018	3470248
01/03/2018	3422551
01/04/2018	3335868
01/05/2018	3252130
01/06/2018	3162162
01/07/2018	3135021
01/08/2018	3182068
01/09/2018	3202509
01/10/2018	3254703
01/11/2018	3252867
01/12/2018	3202297
01/01/2019	3285761
01/02/2019	3289040
01/03/2019	3255084
01/04/2019	3163566
01/05/2019	3079491
01/06/2019	3015686
01/07/2019	3011433
01/08/2019	3065804
01/09/2019	3079711
01/10/2019	3177659
01/11/2019	3198184
01/12/2019	3163605
01/01/2020	3253853
01/02/2020	3246047
01/03/2020	3548312
01/04/2020	3831203
01/05/2020	3857776
01/06/2020	3862883
